REVIEWERID,STARTDATE,STARTYEAR,TYPE,NCAT,Top10,Top50,Top100,Top200,Top500,Top1000,Lead,Advisor,avg_viewership,avg_content,avg_centrality,avg_enhcontent
119,1/17/2000,2000,0,1,0,0,1,0,0,0,0,1,1386.214286,1.412858103,0.008977075,1922.436079
120,11/13/2002,2002,0,1,0,0,0,0,0,0,0,1,90.60714286,0.637488158,0.00428329,2628.782576
121,6/28/2000,2000,1,1,0,0,0,0,0,1,0,1,101.5714286,1.436972329,0.002954855,1010.744994
122,1/25/2001,2001,1,2,0,1,0,0,0,0,0,1,3679.428571,18.46038977,0.00707022,2102.960258
123,9/9/1999,1999,1,1,0,1,0,0,0,0,0,1,3948.214286,29.89949553,0.009101924,2102.858704
124,12/14/1999,1999,0,1,0,0,0,1,0,0,0,0,362.6071429,6.447041098,0.004108177,784.8667114
125,7/15/2005,2005,0,1,0,0,0,0,0,1,0,1,499.1071429,17.06074129,0.006473141,2210.390816
126,10/9/2000,2000,0,1,0,0,0,0,0,1,0,0,140.75,3.267860841,0.002221866,50.0557689
127,9/2/2008,2008,0,1,0,0,0,0,0,0,0,1,726.1785714,77.21993708,0.006785654,2874.483132
128,9/6/2004,2004,0,2,0,0,0,0,1,0,0,1,1180.607143,97.61371278,0.010795799,3363.280792
129,11/1/2002,2002,1,1,0,0,0,0,0,0,0,0,72.92857143,14.23891003,0.001252531,273.9780247
130,2/24/2008,2008,1,1,0,0,0,0,0,0,0,0,261.3214286,19.45254127,0.003130353,2156.212489
131,6/12/2000,2000,1,1,0,0,0,0,0,0,0,1,334.9642857,17.27347164,0.00393318,1647.196457
132,10/10/2006,2006,0,1,0,0,0,0,0,0,0,1,278.75,17.50347135,0.004305893,2263.41101
133,4/2/2008,2008,1,1,0,0,0,0,0,0,0,1,378.2142857,61.8321031,0.003291475,1978.430802
134,3/23/2000,2000,1,1,0,0,0,1,0,0,0,0,1110,13.53277994,0.003296168,841.6073558
135,8/13/2002,2002,1,2,0,0,0,0,1,0,0,1,1306.571429,23.69320928,0.006216317,1490.032079
136,5/8/2006,2006,0,1,0,0,0,0,0,0,0,1,155.1428571,7.986851313,0.003774144,1648.361592
137,5/1/2000,2000,1,1,0,0,0,0,0,1,0,0,290.6071429,0.124371754,0.003359519,1188.423434
138,5/19/2004,2004,1,1,0,0,0,0,1,0,0,1,1056.142857,9.301431808,0.003422991,982.396278
139,12/30/2001,2001,0,1,0,0,0,0,0,1,0,1,894.1071429,37.01044953,0.004753465,2446.472812
140,9/9/2008,2008,0,1,0,0,0,0,0,0,0,0,191.4285714,35.24699047,0.004249245,3885.141994
141,8/11/2000,2000,1,1,0,1,0,0,0,0,0,1,3802.214286,79.66369649,0.007997302,2234.077828
142,7/27/2000,2000,0,1,0,0,0,0,1,0,0,1,780.0357143,68.99476945,0.010478871,2640.21204
143,2/2/2003,2003,1,1,0,0,0,0,0,1,0,0,136.75,5.155075465,0.002882046,1706.964009
144,12/28/2001,2001,1,1,0,0,0,0,0,0,0,0,144.6071429,19.79310111,0.001583519,882.4415036
145,7/20/2001,2001,1,1,0,1,0,0,0,0,0,1,3353,57.23953336,0.005818471,2010.364885
146,3/9/2000,2000,0,1,0,0,0,0,0,0,0,0,189.4642857,11.86051576,0.003704814,1900.453752
147,5/6/2008,2008,0,1,0,0,0,0,0,0,0,1,95.10714286,20.44471835,0.003795155,1313.838272
148,9/23/2005,2005,0,1,0,0,0,0,0,0,0,0,213.3571429,22.73516702,0.003257223,1942.126707
149,3/26/2000,2000,0,1,0,0,0,0,1,0,0,1,296.0714286,22.7212823,0.005020664,1471.543492
150,2/15/2004,2004,1,4,0,0,1,0,0,0,0,1,3684.571429,41.91056112,0.009022844,2971.235498
151,6/29/2001,2001,0,1,0,0,0,0,1,0,0,1,440.2857143,26.03526652,0.007650667,1709.222844
152,7/13/2004,2004,1,1,0,0,0,0,0,0,0,0,106.8928571,28.90765083,0.001758173,889.3747768
153,6/26/2000,2000,1,3,1,0,0,0,0,0,0,1,13292.42857,14.90035347,0.009080015,2130.746804
154,4/8/2001,2001,1,2,0,0,0,0,1,0,0,0,406.9642857,62.37365088,0.001621049,322.7381878
155,3/25/2006,2006,1,1,0,0,0,0,1,0,0,0,861.7857143,4.362092538,0.00259498,597.6659191
156,10/2/2004,2004,0,1,0,0,0,0,0,1,0,0,201.1428571,6.164878554,0.002940734,720.9409617
157,8/21/2000,2000,0,1,0,0,0,1,0,0,0,0,505.3214286,10.12318351,0.003094751,195.219258
158,10/21/2000,2000,0,1,0,0,0,0,0,0,0,0,68.85714286,26.8048857,0.011275597,26.8048857
159,8/22/2000,2000,1,1,0,0,0,0,0,1,0,0,184.8571429,12.23493158,0.002281319,494.4540206
160,12/14/2000,2000,1,1,0,0,0,0,1,0,0,0,182.5714286,20.50852551,0.002344471,834.0969994
161,7/12/2000,2000,0,1,0,0,0,0,1,0,0,1,163.1428571,20.15994926,0.003392317,1649.765827
162,4/20/2002,2002,1,1,0,0,0,1,0,0,0,1,619.6428571,11.95744521,0.004351106,1115.727973
163,8/30/2005,2005,1,1,0,0,0,0,0,0,0,1,253.6071429,90.26035677,0.002940427,1261.498132
164,3/12/2001,2001,1,1,0,0,0,0,1,0,0,0,2042.071429,322.7738957,0.004050019,524.6049769
165,2/4/2002,2002,1,1,0,0,0,0,0,0,0,0,562.3928571,3.45737258,0.001627151,703.9823458
166,5/3/2000,2000,0,1,0,0,0,0,0,1,0,0,40.53571429,0.455634045,0.001349888,137.9239538
167,3/15/2003,2003,1,2,0,0,0,0,1,0,0,1,1745.464286,34.35022797,0.006169835,2379.939611
168,2/27/2000,2000,1,1,0,0,0,0,1,0,0,1,1160.357143,2.362184946,0.005637739,1735.059341
169,9/24/2000,2000,1,1,0,0,0,1,0,0,0,1,2112.642857,29.07282381,0.00618766,1998.9767
170,7/10/2000,2000,0,2,0,0,0,1,0,0,0,1,1113.571429,9.876596221,0.006136434,2706.047813
171,10/20/2001,2001,1,1,0,0,0,1,0,0,0,1,574.8928571,0.021768506,0.002965691,1414.533935
172,1/12/2002,2002,1,1,0,0,0,1,0,0,0,1,827.1428571,11.18158572,0.003440962,1185.586373
173,12/19/2002,2002,1,2,0,0,0,0,1,0,0,0,1107.607143,156.0226264,0.003879776,2113.760089
174,11/23/2005,2005,1,1,0,0,0,0,0,1,0,0,381.8214286,18.84468539,0.002062058,363.9681914
175,10/9/2000,2000,0,3,0,1,0,0,0,0,0,1,3467.5,84.45538753,0.009749974,2503.28778
176,9/20/2000,2000,1,1,0,0,0,0,1,0,0,1,886.1071429,0.038847134,0.004728612,1535.872399
177,4/21/2006,2006,0,2,0,0,0,0,0,1,0,0,363.5357143,33.72339378,0.004439474,976.2422129
178,1/31/2000,2000,0,1,0,0,0,0,1,0,0,1,420.2142857,1.087148078,0.0039381,278.4675529
179,2/22/2003,2003,1,1,0,0,0,0,0,0,0,0,206.6785714,4.469531241,0.001518529,175.9195494
180,6/28/2002,2002,1,1,0,0,0,0,0,1,0,0,203.9285714,1.857042251,0.001564993,1243.017904
181,12/12/1999,1999,0,1,0,0,1,0,0,0,0,1,567.9642857,0.005607315,0.003418548,256.5612413
182,8/24/2001,2001,1,1,0,0,0,1,0,0,0,0,1168.607143,55.2928641,0.002695578,925.4910407
183,11/26/1999,1999,1,1,0,0,0,0,0,1,0,1,263.5,0.735607986,0.002739791,1005.492734
184,12/25/1999,1999,0,1,0,0,0,0,1,0,0,1,451.7857143,9.625337277,0.004528317,2578.546843
185,2/23/2000,2000,1,1,1,0,0,0,0,0,0,1,12014.28571,6.906451624,0.007585042,2036.899795
